serie,hour,day,month,value
15,01,29,11,20.0225
15,01,30,11,19.8087
15,01,01,12,17.9323
15,01,02,12,16.7333
15,01,03,12,18.0113
15,01,04,12,19.2973
15,01,05,12,20.5273
15,01,06,12,18.7041
15,01,07,12,18.7734
15,01,08,12,17.9692
15,01,09,12,16.4323
15,01,10,12,17.943
15,01,11,12,19.4241
15,01,12,12,20.1971
15,01,13,12,19.7458
15,01,14,12,19.1014
15,01,15,12,17.6336
15,01,16,12,16.5515
15,01,17,12,17.5609
15,01,18,12,18.4151
15,01,19,12,19.0176
15,01,20,12,20.1183
15,01,21,12,19.37
15,01,22,12,17.1285
15,01,23,12,15.6817
15,01,24,12,14.3473
15,01,25,12,13.1576
15,01,26,12,12.718
15,01,27,12,12.429
15,01,28,12,12.2169
15,01,29,12,11.3196
15,01,30,12,13.1769
15,01,31,12,12.8202
15,01,01,01,11.8848
15,01,02,01,11.5269
15,01,03,01,11.8311
15,01,04,01,12.2313
15,01,05,01,12.3358
15,01,06,01,11.7224
15,01,07,01,11.7557
15,01,08,01,13.2139
15,01,09,01,16.3006
15,01,10,01,18.8475
15,01,11,01,17.9555
15,01,12,01,14.9418
15,01,13,01,13.0716
15,01,14,01,13.687
15,01,15,01,17.2267
15,01,16,01,17.1067
15,01,17,01,18.8118
15,01,18,01,18.9707
15,01,19,01,16.4289
15,01,20,01,14.9112
15,01,21,01,15.6535
15,01,22,01,18.2192
15,01,23,01,18.6646
15,01,24,01,19.6708
15,01,25,01,20.0971
15,01,26,01,18.3991
15,01,27,01,16.6349
15,01,28,01,15.3561
15,01,29,01,17.3771
15,01,30,01,18.4921
15,01,31,01,19.4716
15,01,01,02,19.2609
15,01,02,02,15.6029
15,01,03,02,14.0912
15,01,04,02,16
15,01,05,02,17.2167
15,01,06,02,19.4955
15,01,07,02,20.4146
15,01,08,02,19.9788
15,01,09,02,17.5
15,01,10,02,16.3908
15,01,11,02,17.6797
15,01,12,02,19.144
15,01,13,02,20.3311
15,01,14,02,21.2144
15,01,15,02,20.8872
15,01,16,02,19.4646
15,01,17,02,18.0536
15,01,18,02,20.1935
15,01,19,02,20.981
15,01,20,02,22.3794
15,01,21,02,22.5664
15,01,22,02,22.1544
15,01,23,02,21.1593
15,01,24,02,20.1361
15,01,25,02,22.3888
15,01,26,02,22.8934
15,01,27,02,23.1634
15,01,28,02,22.2119
15,01,01,03,22.6
15,01,02,03,21.561
15,01,03,03,20.3634
15,01,04,03,20.8415
15,01,05,03,21.7054
15,01,06,03,21.9813
15,01,07,03,21.6247
15,01,08,03,21.3953
15,01,09,03,20.3902
15,01,10,03,19.9325
15,01,11,03,21.8431
15,01,12,03,23.0904
15,01,13,03,22.765
15,01,14,03,22.195
15,01,15,03,22.2118
15,01,16,03,21.7736
15,01,17,03,21.107
15,01,18,03,21.643
15,01,19,03,20.6993
15,01,20,03,20.0627
15,01,21,03,20.7192
15,01,22,03,21.178
15,01,23,03,20.4
15,01,24,03,19.666
15,01,25,03,21.4772
15,01,26,03,21.227
15,01,27,03,21.0517
15,01,28,03,20.3786
15,01,29,03,19.9515
15,01,30,03,19.5308
15,01,31,03,19.7432
15,02,01,04,20.1708
15,02,02,04,20.0783
15,02,03,04,20.5694
15,02,04,04,20.2417
15,02,05,04,20.5339
15,02,06,04,18.0951
15,02,07,04,16.4508
15,02,08,04,19.2143
15,02,09,04,19.5865
15,02,10,04,21.1712
15,02,11,04,21.0551
15,02,12,04,20.1854
15,02,13,04,20.5811
15,02,14,04,21.3827
15,02,15,04,21.3944
15,02,16,04,21.3676
15,02,17,04,21.8322
15,02,18,04,23.0384
15,02,19,04,23.9306
15,02,20,04,23.3943
15,02,21,04,21.8435
15,02,22,04,21.0823
15,02,23,04,21.2905
15,02,24,04,19.28
15,02,25,04,18.9507
15,02,26,04,19.4132
15,02,27,04,19.3265
15,02,28,04,19.5912
15,02,29,04,22.9978
15,02,30,04,23.5063
15,02,01,05,24.2059
15,02,02,05,25.0978
15,02,03,05,25.0029
15,02,04,05,24.7104
15,02,05,05,24.8973
15,02,06,05,25.0339
15,02,07,05,23.8041
15,02,08,05,22.3537
15,02,09,05,22.9968
15,02,10,05,22.287
15,02,11,05,22.7325
15,02,12,05,23.7615
15,02,13,05,25.0806
15,02,14,05,25.5491
15,02,15,05,26.7993
15,02,16,05,27.5844
15,02,17,05,25.7189
15,02,18,05,23.578
15,02,19,05,23.0479
15,02,20,05,23.1907
15,02,21,05,23.7373
15,02,22,05,24.7512
15,02,23,05,25.4
15,02,24,05,25.3694
15,02,25,05,25.2411
15,02,26,05,25.5542
15,02,27,05,26.3278
15,02,28,05,27.0627
